date,price
2/14/2017,1282.6
2/15/2017,1291.9
2/16/2017,1300.4
2/17/2017,1297.1
2/20/2017,1238.2
2/21/2017,1296.9
2/22/2017,1291
2/23/2017,1309.4
2/24/2017,1316.1
2/27/2017,1316.8
2/28/2017,1312
3/1/2017,1308.8
3/2/2017,1291.6
3/3/2017,1286.5
3/6/2017,1285
3/7/2017,1275.4
3/8/2017,1269.6
3/9/2017,1263.4
3/10/2017,1261.7
3/13/2017,1264.3
3/14/2017,1264
3/15/2017,1262
3/16/2017,1288.4
3/17/2017,1291.3
3/20/2017,1294.9
3/21/2017,1306.7
3/22/2017,1309.2
3/23/2017,1306.2
3/24/2017,1308.1
3/27/2017,1315.1
3/28/2017,1315.2
3/29/2017,1313.2
3/30/2017,1304.4
3/31/2017,1307.5
4/3/2017,1310.4
4/4/2017,1314.5
4/5/2017,1304.6
4/6/2017,1309.5
4/7/2017,1313.9
4/10/2017,1310.4
4/11/2017,1330.5
4/12/2017,1334.4
4/13/2017,1343.8
4/14/2017,1289.65
4/17/2017,1346.9
4/18/2017,1348
4/19/2017,1337.6
4/20/2017,1338.8
4/21/2017,1344.1
4/24/2017,1332.9
4/25/2017,1323.1
4/26/2017,1320.1
4/27/2017,1321.8
4/28/2017,1324.2
5/1/2017,1311.7
5/2/2017,1313.2
5/3/2017,1304.7
5/4/2017,1284.5
5/5/2017,1282.9
5/8/2017,1283.2
5/9/2017,1272.2
5/10/2017,1274.7
5/11/2017,1280
5/12/2017,1282.8
5/15/2017,1285.1
5/16/2017,1291.5
5/17/2017,1313.3
5/18/2017,1306.3
5/19/2017,1307
5/22/2017,1315.1
5/23/2017,1309.2
5/24/2017,1306.8
5/25/2017,1310.4
5/26/2017,1321.9
5/29/2017,1266.69
5/30/2017,1316.2
5/31/2017,1325.6
6/1/2017,1320.3
6/2/2017,1330.2
6/5/2017,1332.7
6/6/2017,1347.1
6/7/2017,1342.7
6/8/2017,1329
6/9/2017,1321
6/12/2017,1318.6
6/13/2017,1318.3
6/14/2017,1325.3
6/15/2017,1303.9
6/16/2017,1305.8
6/19/2017,1296.1
6/20/2017,1292.5
6/21/2017,1294.6
6/22/2017,1298.1
6/23/2017,1305.4
6/26/2017,1295.4
6/27/2017,1296.1
6/28/2017,1298.5
6/29/2017,1295.4
6/30/2017,1291.7
7/3/2017,1268.6
7/4/2017,1227.55
7/5/2017,1271.6
7/6/2017,1274.4
7/7/2017,1260.1
7/10/2017,1263.7
7/11/2017,1265.4
7/12/2017,1268.9
7/13/2017,1266.2
7/14/2017,1276.5
7/17/2017,1283.1
7/18/2017,1291.2
7/19/2017,1291.4
7/20/2017,1294.8
7/21/2017,1303.6
7/24/2017,1303.1
7/25/2017,1300.9
7/26/2017,1298.9
7/27/2017,1310.2
7/28/2017,1319.1
7/31/2017,1317.2
8/1/2017,1323
8/2/2017,1322.2
8/3/2017,1318.3
8/4/2017,1308.4
8/7/2017,1308.7
8/8/2017,1307.1
8/9/2017,1323.7
8/10/2017,1334.5
8/11/2017,1338.1
8/14/2017,1334.8
8/15/2017,1324.2
8/16/2017,1327.5
8/17/2017,1336.8
8/18/2017,1335.7
8/21/2017,1341
8/22/2017,1335.5
8/23/2017,1338.8
8/24/2017,1336
8/25/2017,1341.9
8/28/2017,1359.7
8/29/2017,1362.8
8/30/2017,1358
8/31/2017,1365.6
9/1/2017,1374.2
9/4/2017,1338.08
9/5/2017,1388.3
9/6/2017,1383
9/7/2017,1395.1
9/8/2017,1396.4
9/11/2017,1381.2
9/12/2017,1378.9
9/13/2017,1373.8
9/14/2017,1376.3
9/15/2017,1372.2
9/18/2017,1357.4
9/19/2017,1358.3
9/20/2017,1364
9/21/2017,1342.4
9/22/2017,1345.1
9/25/2017,1359.2
9/26/2017,1349.7
9/27/2017,1336.3
9/28/2017,1336.9
9/29/2017,1333.2
10/2/2017,1324.7
10/3/2017,1323.4
10/4/2017,1325.6
10/5/2017,1322.6
10/6/2017,1324.3
10/9/2017,1334.7
10/10/2017,1343.7
10/11/2017,1338.8
10/12/2017,1346.6
10/13/2017,1354.7
10/16/2017,1353.9
10/17/2017,1336.7
10/18/2017,1333.5
10/19/2017,1340.1
10/20/2017,1330.4
10/23/2017,1331.1
10/24/2017,1328.4
10/25/2017,1329.7
10/26/2017,1320.3
