date,oil
1/24/2017,-0.301579298
1/25/2017,-0.320488059
1/26/2017,-0.27519498
1/27/2017,-0.302019036
1/30/2017,-0.325764922
1/31/2017,-0.317849627
2/1/2017,-0.270797594
2/2/2017,-0.285748707
2/3/2017,-0.272996287
2/6/2017,-0.309054854
2/7/2017,-0.345992899
2/8/2017,-0.338517342
2/9/2017,-0.309494593
2/10/2017,-0.271677072
2/13/2017,-0.312572763
2/14/2017,-0.300699821
2/15/2017,-0.304657468
2/16/2017,-0.293664003
2/17/2017,-0.291905048
2/20/2017,-0.266839947
2/21/2017,-0.262882299
2/22/2017,-0.283550014
2/23/2017,-0.245732493
2/24/2017,-0.265960469
2/27/2017,-0.263322038
2/28/2017,-0.265080992
3/1/2017,-0.272996287
3/2/2017,-0.326644399
3/3/2017,-0.294983219
3/6/2017,-0.300699821
3/7/2017,-0.303338252
3/8/2017,-0.429103498
3/9/2017,-0.473077361
3/10/2017,-0.507816712
3/13/2017,-0.51177436
3/14/2017,-0.541676586
3/15/2017,-0.491546383
3/16/2017,-0.496383508
3/17/2017,-0.495064292
3/20/2017,-0.519689655
3/21/2017,-0.558386654
3/22/2017,-0.52760495
3/23/2017,-0.542556063
3/24/2017,-0.53068312
3/27/2017,-0.541236847
3/28/2017,-0.513093575
3/29/2017,-0.462963372
3/30/2017,-0.426025328
3/31/2017,-0.415031863
4/3/2017,-0.430862453
4/4/2017,-0.396123102
4/5/2017,-0.390846238
4/6/2017,-0.366660614
4/7/2017,-0.342914728
4/10/2017,-0.305976684
4/11/2017,-0.291905048
4/12/2017,-0.304657468
4/13/2017,-0.301579298
4/14/2017,-0.301579298
4/17/2017,-0.324885445
4/18/2017,-0.335439172
4/19/2017,-0.422067681
4/20/2017,-0.429543237
4/21/2017,-0.458126248
4/24/2017,-0.475276054
4/25/2017,-0.460764679
4/26/2017,-0.458126248
4/27/2017,-0.486709258
4/28/2017,-0.470878668
5/1/2017,-0.49242586
5/2/2017,-0.544315018
5/3/2017,-0.5372792
5/4/2017,-0.638419083
5/5/2017,-0.607637379
5/8/2017,-0.598402868
5/9/2017,-0.622588493
5/10/2017,-0.558826392
5/11/2017,-0.536839461
5/12/2017,-0.536399722
5/15/2017,-0.491986122
5/16/2017,-0.500341155
5/17/2017,-0.482311872
5/18/2017,-0.46999919
5/19/2017,-0.426904805
5/22/2017,-0.40931526
5/23/2017,-0.376774602
5/24/2017,-0.381611727
5/25/2017,-0.489787428
5/26/2017,-0.450210952
5/29/2017,-0.442735396
5/30/2017,-0.456367293
5/31/2017,-0.515292269
6/1/2017,-0.513533314
6/2/2017,-0.544315018
6/5/2017,-0.555748222
6/6/2017,-0.521008871
6/7/2017,-0.629624311
6/8/2017,-0.633142219
6/9/2017,-0.624787186
6/12/2017,-0.61379372
6/13/2017,-0.597083652
6/14/2017,-0.673158434
6/15/2017,-0.685031377
6/16/2017,-0.672718696
6/19/2017,-0.696464581
6/20/2017,-0.739119228
6/21/2017,-0.769900931
6/22/2017,-0.76066642
6/23/2017,-0.748793477
6/26/2017,-0.732523148
6/27/2017,-0.694705627
6/28/2017,-0.672718696
6/29/2017,-0.664363662
6/30/2017,-0.615552675
